,property_id,price,neighbourhood,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,host_id,calculated_host_listings_count,arp_2019
28,9518,44,inwood,Private room,3,108,1.11,311,31374,3,1787.0
29,9657,180,east village,Entire home,14,29,0.24,67,21904,1,3241.0
30,9668,50,harlem,Private room,3,242,2.04,355,32294,3,2609.0
31,9704,52,harlem,Private room,2,88,1.42,255,32045,1,2609.0
32,9782,55,greenpoint,Private room,4,197,1.65,284,32169,3,3974.0
33,9783,50,harlem,Private room,3,273,2.37,359,32294,3,2609.0
34,10452,70,bedford stuyvesant,Private room,1,74,0.66,269,35935,2,2442.0
35,10962,89,south slope,Private room,4,168,1.41,340,9744,3,2575.0
36,11452,35,bedford stuyvesant,Private room,60,0,0.0,365,7355,1,2442.0
37,11708,85,bushwick,Entire home,2,231,1.96,22,44145,2,2553.0
38,11943,150,flatbush ditmas park,Private room,1,0,0.0,365,45445,1,2231.0
39,12048,40,lower east side,Shared room,1,214,1.81,188,7549,4,4016.0
40,12192,68,east village,Private room,2,245,2.08,96,46978,2,3241.0
41,12299,120,south slope,Entire home,3,15,0.39,345,47610,1,2575.0
42,12303,120,fort greene,Private room,7,25,0.23,311,47618,1,3174.0
43,12318,135,upper west side,Private room,4,81,0.69,273,16800,1,3749.0
44,12343,150,harlem,Entire home,7,97,0.84,309,47727,1,2609.0
45,12627,150,prospect lefferts gardens,Entire home,29,11,0.49,95,49670,1,2042.0
46,12937,130,long island city,Private room,3,248,2.25,215,50124,1,3774.0
47,12940,110,bedford stuyvesant,Entire home,7,61,0.52,265,50148,1,2442.0
48,13050,115,bedford stuyvesant,Entire home,3,11,0.1,0,50846,1,2442.0
49,13394,80,fort greene,Private room,3,135,1.16,192,52335,2,3174.0
50,13808,80,bedford stuyvesant,Private room,1,112,1.01,251,54275,3,2442.0
51,14287,151,upper west side,Entire home,2,73,0.63,302,56094,1,3749.0
52,14290,228,williamsburg,Entire home,3,82,0.7,140,56104,1,3352.0
53,14314,144,greenpoint,Entire home,2,328,2.82,234,56246,1,3974.0
54,14322,200,kips bay,Entire home,7,19,0.22,257,56284,1,3048.0
55,14377,150,williamsburg,Entire home,30,105,0.9,30,56512,1,3352.0
56,14991,110,lower east side,Private room,5,19,0.17,301,59023,1,4016.0
57,15220,69,hells kitchen,Private room,2,289,2.49,294,59734,2,3796.0
58,15338,49,greenpoint,Private room,4,138,1.19,320,32169,3,3974.0
59,15341,180,soho,Entire home,30,21,0.3,154,60049,1,8880.0
60,15385,80,williamsburg,Private room,2,42,0.38,263,60252,1,3352.0
61,15396,375,chelsea,Entire home,180,5,0.12,180,60278,1,6327.0
62,15711,250,upper east side,Entire home,2,66,0.57,231,61491,2,3372.0
63,16326,200,prospect heights,Entire home,30,143,1.33,297,63588,2,4216.0
64,16338,55,clinton hill,Private room,7,27,0.23,292,63613,2,3057.0
65,16421,52,hells kitchen,Private room,30,191,1.65,191,63924,1,3796.0
66,16458,225,park slope,Entire home,3,4,0.16,0,64056,1,3172.0
67,16580,80,east village,Private room,1,338,4.72,72,64442,2,3241.0
68,16595,275,williamsburg,Entire home,1,148,1.4,362,64522,1,3352.0
69,16821,99,east village,Private room,1,106,1.26,336,4396,2,3241.0
70,16974,225,east harlem,Entire home,4,190,1.64,215,65837,1,2664.0
71,17037,230,east village,Entire home,9,49,0.43,116,66035,1,3241.0
72,17092,51,hells kitchen,Private room,7,23,0.43,88,66243,1,3796.0
73,17693,65,washington heights,Private room,2,49,1.6,336,68428,2,1954.0
74,17747,105,clinton hill,Private room,2,105,0.92,304,68599,1,3057.0
75,18127,190,east village,Entire home,5,21,0.2,224,69829,1,3241.0
76,18152,200,upper east side,Private room,1,142,1.5,322,69942,1,3372.0
77,18198,70,woodside,Private room,30,25,0.22,324,70091,1,2220.0
78,18590,95,fort greene,Private room,3,143,1.28,132,71512,1,3174.0
79,18728,150,chelsea,Private room,3,167,1.65,295,71876,1,6327.0
80,18764,145,williamsburg,Private room,3,61,0.54,238,72014,4,3352.0
81,19159,110,harlem,Entire home,31,54,0.49,209,73051,1,2609.0
82,19169,285,lower east side,Entire home,5,70,0.62,328,73128,1,4016.0
83,19282,130,flatbush ditmas park,Entire home,6,16,0.15,38,73469,1,2231.0
84,19319,94,lower east side,Private room,30,94,0.84,188,44263,1,4016.0
85,19601,800,brooklyn heights,Entire home,1,25,0.24,7,74303,1,4528.0
86,19812,105,williamsburg,Entire home,3,61,0.53,272,74857,1,3352.0
87,20299,60,east village,Private room,3,194,1.73,26,62407,1,3241.0
88,20300,50,east village,Private room,1,2,0.05,0,76627,1,3241.0
89,20611,85,williamsburg,Private room,3,174,1.54,288,72014,4,3352.0
90,20724,65,bushwick,Private room,4,24,0.28,317,961342,1,2553.0
91,20734,131,prospect heights,Entire home,4,166,3.4,207,78460,1,4216.0
92,20755,98,clinton hill,Private room,7,16,0.2,185,51038,6,3057.0
93,20853,250,prospect heights,Entire home,7,21,0.3,158,79070,1,4216.0
94,20913,100,williamsburg,Entire home,5,168,1.57,0,79402,1,3352.0
95,21293,105,bushwick,Entire home,3,118,1.05,9,44145,2,2553.0
96,21456,140,upper west side,Entire home,3,81,0.71,198,42032,1,3749.0
97,21644,89,harlem,Private room,1,1,0.11,365,82685,1,2609.0
98,21794,98,chelsea,Private room,30,30,0.27,364,83257,2,6327.0
99,22911,125,bedford stuyvesant,Entire home,7,139,1.23,311,87773,2,2442.0
100,22918,60,harlem,Private room,3,11,0.87,219,32294,3,2609.0
101,23135,175,carroll gardens,Entire home,2,233,2.09,342,11481,3,3194.0
102,23501,65,washington heights,Private room,2,68,0.6,312,63318,1,1954.0
103,23686,500,west village,Entire home,4,46,0.55,243,93790,2,5794.0
104,24143,101,williamsburg,Private room,3,335,3.02,152,97219,1,3352.0
105,24285,220,park slope,Entire home,30,88,0.79,9,97797,1,3172.0
106,25235,125,bedford stuyvesant,Entire home,90,162,1.46,137,87773,2,2442.0
107,25406,80,williamsburg,Entire home,30,29,0.4,222,105538,1,3352.0
108,25696,100,harlem,Private room,2,170,1.61,346,107628,1,2609.0
109,26012,200,gowanus,Entire home,30,19,0.2,208,109589,1,3026.0
110,26362,59,hells kitchen,Private room,2,334,3.0,279,59734,2,3796.0
111,26520,125,clinton hill,Private room,2,19,0.2,250,51038,6,3057.0
112,26559,140,east village,Entire home,7,12,0.13,164,112793,1,3241.0
113,26785,120,south slope,Entire home,30,467,4.22,192,42273,2,2575.0
114,26933,350,east village,Entire home,2,7,0.06,298,72062,4,3241.0
115,26954,199,kips bay,Entire home,5,38,0.38,260,115157,1,3048.0
116,26969,325,williamsburg,Entire home,3,324,3.01,107,115307,1,3352.0
117,27006,235,upper west side,Entire home,6,27,0.27,199,115560,1,3749.0
118,27385,225,east village,Entire home,1,115,1.05,299,72062,4,3241.0
119,27531,99,south slope,Private room,2,354,3.2,20,118971,3,2575.0
120,27644,170,harlem,Entire home,2,195,2.03,318,119510,1,2609.0
121,27659,400,south slope,Entire home,2,16,0.24,216,119588,2,2575.0
122,27759,170,upper west side,Entire home,7,13,0.12,224,119900,1,3749.0
123,27883,100,east village,Entire home,4,25,0.23,0,120223,1,3241.0
124,28321,75,prospect lefferts gardens,Private room,2,9,0.08,324,65091,1,2042.0
125,28396,90,williamsburg,Private room,1,9,0.08,245,6197784,1,3352.0
126,28907,150,upper east side,Entire home,5,21,0.19,189,124352,1,3372.0
127,29012,85,washington heights,Private room,15,36,0.33,307,124797,1,1954.0
128,29013,70,bedford stuyvesant,Private room,3,63,0.58,310,35935,2,2442.0
129,29455,120,harlem,Entire home,3,155,1.42,213,126607,3,2609.0
130,29628,89,clinton hill,Private room,3,260,2.35,278,127608,1,3057.0
131,29683,185,east village,Entire home,5,73,0.66,209,125857,1,3241.0
132,30031,50,greenpoint,Private room,3,193,1.86,0,129352,1,3974.0
133,30927,105,lower east side,Entire home,3,32,0.29,16,120335,1,4016.0
134,31130,130,hells kitchen,Private room,2,50,0.45,234,117287,3,3796.0
135,31555,115,west village,Entire home,29,26,0.25,12,135619,1,5794.0
136,31902,77,flatlands,Private room,2,2,0.02,178,137292,1,1569.0
137,31994,76,clinton hill,Private room,2,426,3.89,275,137814,3,3057.0
138,32023,125,bedford stuyvesant,Entire home,3,227,2.09,163,137974,2,2442.0
139,32037,135,clinton hill,Private room,4,84,0.77,365,116599,3,3057.0
140,32100,250,greenpoint,Entire home,29,3,0.03,34,138579,1,3974.0
141,32289,199,williamsburg,Entire home,3,10,0.1,280,139612,1,3352.0
142,32331,140,cobble hill,Entire home,2,4,0.04,0,139874,1,2886.0
143,32363,140,flushing,Private room,2,1,0.01,1,140025,1,2264.0
144,32965,115,bedford stuyvesant,Entire home,3,124,1.72,170,137974,2,2442.0
145,32969,160,williamsburg,Entire home,3,11,0.11,188,142833,1,3352.0
146,33009,195,williamsburg,Entire home,4,240,2.19,214,143027,1,3352.0
147,33014,195,east village,Entire home,3,30,0.28,248,143048,1,3241.0
148,33223,80,williamsburg,Private room,3,200,1.86,262,72014,4,3352.0
149,34760,44,fort greene,Private room,8,27,1.05,280,149929,5,3174.0
150,35526,156,west village,Private room,4,79,0.74,307,120291,1,5794.0
151,36121,85,prospect heights,Private room,15,9,0.09,339,62165,1,4216.0
152,36133,125,williamsburg,Private room,3,155,1.61,1,142684,1,3352.0
153,36442,115,prospect heights,Entire home,15,4,0.05,269,137432,1,4216.0
154,36647,69,east harlem,Private room,2,34,0.32,10,157798,1,2664.0
155,36703,225,west village,Entire home,45,134,1.24,312,158284,1,5794.0
156,36934,125,williamsburg,Entire home,6,27,0.25,189,159370,1,3352.0
157,38638,219,upper east side,Entire home,4,126,1.16,290,92788,2,3372.0
158,38663,475,boerum hill,Entire home,3,23,0.27,230,165789,1,3035.0
159,39267,99,upper east side,Entire home,1,234,2.6,164,168417,2,3372.0
160,39282,69,williamsburg,Private room,4,202,1.86,53,168525,2,3352.0
161,39593,79,sunnyside,Private room,30,28,0.26,126,110506,1,2544.0
162,39704,135,bedford stuyvesant,Entire home,2,309,2.86,3,170510,2,2442.0
163,40039,250,dumbo,Private room,3,14,0.13,189,171851,1,4948.0
164,40453,250,upper east side,Entire home,3,4,0.08,365,174025,1,3372.0
165,41348,250,gowanus,Entire home,2,80,2.17,0,180083,1,3026.0
166,41513,80,harlem,Entire home,3,2,0.04,0,181167,1,2609.0
167,42580,70,clinton hill,Private room,2,294,3.47,336,137814,3,3057.0
168,42729,165,carroll gardens,Entire home,2,150,1.4,342,11481,3,3194.0
169,42882,70,st george,Private room,2,166,1.66,312,185978,1,2264.0
170,43957,50,bushwick,Private room,2,47,0.94,37,177536,1,2553.0
171,44096,40,highbridge,Private room,1,219,2.04,353,190409,3,1954.0
172,44161,150,williamsburg,Entire home,2,193,1.78,177,193360,1,3352.0
173,44212,125,east village,Private room,1,84,0.78,310,72062,4,3241.0
174,44221,196,financial district,Entire home,3,114,1.06,0,193722,1,5594.0
175,44229,110,fort greene,Private room,2,213,2.0,321,181376,2,3174.0
176,44288,170,west village,Entire home,3,86,0.8,246,193637,1,5794.0
177,44506,165,harlem,Entire home,3,80,0.75,231,126607,3,2609.0
178,45393,150,west village,Entire home,26,38,0.36,225,201297,1,5794.0
179,45542,100,harlem,Entire home,2,18,1.79,0,202249,1,2609.0
180,45556,65,fort greene,Private room,2,206,1.92,0,67778,2,3174.0
181,45910,350,ridgewood,Entire home,8,10,0.11,365,204539,5,2287.0
182,45936,99,morningside heights,Private room,4,122,1.18,233,867225,2,2250.0
183,45940,200,williamsburg,Entire home,4,33,0.58,1,204724,1,3352.0
184,46544,150,park slope,Entire home,5,52,0.5,18,8198,1,3172.0
185,46723,90,bedford stuyvesant,Private room,3,126,1.17,343,209460,4,2442.0
186,46911,120,prospect heights,Private room,3,51,0.48,250,210746,3,4216.0
187,47199,75,upper east side,Private room,3,199,1.85,326,212722,1,3372.0
188,47362,175,bedford stuyvesant,Entire home,26,30,0.29,364,214148,1,2442.0
189,47370,125,chelsea,Entire home,3,3,0.03,0,214287,1,6327.0
190,47926,275,hells kitchen,Entire home,1,41,0.38,299,218404,1,3796.0
191,48719,299,lower east side,Entire home,2,109,1.04,207,221873,1,4016.0
192,50447,135,south slope,Entire home,5,151,1.43,162,9744,3,2575.0
193,51438,130,upper east side,Private room,14,0,0.0,0,236421,2,3372.0
194,51485,83,lower east side,Private room,1,285,2.69,7,236655,1,4016.0
195,51572,123,chelsea,Private room,1,375,3.52,328,237329,1,6327.0
196,51850,55,jamaica,Private room,2,52,0.49,365,27848,2,1954.0
197,53137,195,hells kitchen,Entire home,5,10,1.01,0,240360,1,3796.0
198,53196,80,bedford stuyvesant,Private room,2,11,0.48,0,247432,1,2442.0
199,53469,98,middle village,Entire home,30,33,0.31,240,204539,5,1987.0
200,53470,140,ridgewood,Private room,7,6,0.06,365,204539,5,2287.0
201,53477,265,middle village,Entire home,7,38,0.38,365,204539,5,1987.0
202,54158,249,williamsburg,Entire home,2,358,3.44,164,10889,2,3352.0
203,54453,105,hells kitchen,Shared room,6,10,0.09,363,255583,1,3796.0
204,54466,200,harlem,Private room,30,0,0.0,365,253385,1,2609.0
205,54508,100,prospect heights,Private room,2,226,2.12,250,210746,3,4216.0
206,54544,121,harlem,Entire home,1,104,1.0,247,256161,5,2609.0
207,54626,45,highbridge,Private room,1,138,1.45,323,190409,3,1954.0
208,54860,100,east harlem,Private room,5,204,1.92,192,258164,1,2664.0
209,55467,140,williamsburg,Entire home,2,253,3.04,125,260709,1,3352.0
210,55498,71,bedford stuyvesant,Private room,2,23,0.22,91,262138,1,2442.0
211,55668,130,noho,Private room,2,115,1.17,75,88209,1,7601.0
212,55737,199,west village,Entire home,5,129,1.22,286,263414,1,5794.0
213,55959,69,williamsburg,Private room,4,82,1.13,60,168525,2,3352.0
214,55982,68,fort greene,Private room,3,37,0.35,0,264928,1,3174.0
215,56467,130,east village,Entire home,1,204,2.04,192,267593,1,3241.0
216,56525,195,greenpoint,Entire home,2,69,0.65,58,268014,1,3974.0
217,56859,64,harlem,Private room,1,192,1.84,245,256161,5,2609.0
218,57166,140,ditmars steinway,Entire home,2,17,0.16,292,272006,1,2287.0
219,57297,159,cobble hill,Entire home,2,222,2.12,279,199392,1,2886.0
220,57468,189,east village,Entire home,3,205,1.96,0,239208,1,3241.0
221,57618,250,hells kitchen,Entire home,3,94,0.96,3,274557,1,3796.0
222,57740,239,east village,Entire home,3,7,0.07,351,275459,1,3241.0
223,57754,305,flatiron district,Entire home,2,108,1.09,201,275578,1,6032.0
224,57874,155,harlem,Entire home,3,222,2.1,232,276291,2,2609.0
225,58059,60,harlem,Private room,1,458,4.58,258,277379,2,2609.0
226,58062,135,windsor terrace,Private room,2,21,0.26,272,277394,1,2442.0
227,58467,120,roosevelt island,Private room,7,17,0.3,341,279797,1,3373.0
228,59014,150,lower east side,Entire home,3,41,0.39,244,282927,1,4016.0
229,59121,140,ridgewood,Entire home,14,1,0.01,365,204539,5,2287.0
230,59642,135,greenpoint,Entire home,2,69,0.67,12,274782,1,3974.0
231,59709,250,chinatown,Entire home,4,18,0.18,265,186084,2,2531.0
232,59855,250,midtown,Entire home,30,82,0.78,0,288031,1,5794.0
233,60164,500,soho,Entire home,4,94,0.99,329,289653,1,8880.0
234,60457,225,greenwich village,Entire home,5,10,0.1,91,99212,1,3727.0
235,60611,125,east harlem,Entire home,28,183,1.83,365,292204,2,2664.0
236,60666,92,harlem,Private room,1,189,1.82,253,256161,5,2609.0
237,60673,175,harlem,Private room,2,1,0.11,365,249372,1,2609.0
238,60680,99,east village,Entire home,2,127,1.22,320,292630,1,3241.0
239,60794,195,upper west side,Entire home,4,4,0.04,0,293394,1,3749.0
240,60948,140,east harlem,Entire home,3,135,1.3,192,126607,3,2664.0
241,61167,135,little italy,Entire home,2,21,0.2,0,295760,1,2842.0
242,61224,500,chelsea,Entire home,2,35,0.34,348,291112,1,6327.0
243,61406,80,harlem,Private room,14,10,2.21,0,297176,2,2609.0
244,61492,120,chinatown,Private room,4,171,1.8,353,297769,2,2531.0
245,61509,110,midtown,Entire home,200,92,0.9,140,23619,1,5794.0
246,62095,65,east flatbush,Entire home,3,238,2.3,2,281764,1,2131.0
247,62427,130,east village,Entire home,50,56,0.58,56,303882,1,3241.0
248,62430,99,bushwick,Entire home,3,111,2.13,68,197755,1,2553.0
249,62452,36,tompkinsville,Private room,2,193,1.85,360,303939,6,1243.0
250,62461,37,tompkinsville,Private room,2,147,1.44,0,303939,6,1243.0
251,62787,37,tompkinsville,Private room,2,177,1.71,320,303939,6,1243.0
252,62891,175,east village,Entire home,3,185,1.78,326,306545,2,3241.0
253,62903,205,chelsea,Entire home,9,62,0.7,76,306605,2,6327.0
254,62925,285,greenpoint,Entire home,3,124,1.22,279,306739,3,3974.0
255,63299,59,williamsburg,Private room,2,181,1.77,15,308875,2,3352.0
256,63320,36,tompkinsville,Private room,2,333,3.19,340,303939,6,1243.0
257,63360,99,astoria,Entire home,5,441,4.5,226,307962,1,2620.0
258,63546,39,kensington,Private room,1,45,0.46,365,308652,2,2042.0
259,63573,60,park slope,Private room,14,9,0.09,0,310458,2,3172.0
260,63588,90,clason point,Private room,2,0,0.0,349,295128,7,2073.0
261,63610,105,eastchester,Entire home,2,38,0.5,365,310670,13,
262,63657,135,bedford stuyvesant,Entire home,2,248,2.39,11,170510,2,2442.0
263,63693,390,east village,Entire home,5,143,1.38,316,306545,2,3241.0
264,63719,70,bedford stuyvesant,Private room,3,36,0.41,281,311286,4,2442.0
265,63913,75,inwood,Private room,7,0,0.0,323,312288,2,1787.0
266,64000,60,williamsburg,Private room,17,14,0.14,362,312722,4,3352.0
267,64015,200,east village,Entire home,3,0,0.0,0,146944,1,3241.0
268,64107,100,crown heights,Private room,3,279,2.69,301,313317,1,2321.0
269,64277,70,bedford stuyvesant,Private room,4,18,0.22,189,311286,4,2442.0
270,64314,110,crown heights,Private room,6,50,3.55,0,314256,1,2321.0
271,64365,60,crown heights,Private room,2,227,2.27,287,314582,2,2321.0
272,64707,90,little italy,Entire home,14,1,0.16,14,7310,1,2842.0
273,64837,68,east village,Private room,2,203,1.96,86,46978,2,3241.0
274,65019,115,upper west side,Entire home,2,210,2.1,261,317809,1,3749.0
275,65268,75,bedford stuyvesant,Private room,5,64,0.67,68,319092,1,2442.0
276,65556,60,williamsburg,Private room,3,0,0.0,0,320422,1,3352.0
277,65562,129,east village,Entire home,7,5,0.15,231,320450,1,3241.0
278,65615,130,williamsburg,Entire home,10,49,0.48,152,320761,1,3352.0
279,65660,95,williamsburg,Entire home,4,132,1.27,46,320538,1,3352.0
280,65813,75,harlem,Private room,3,20,0.26,364,321756,1,2609.0
281,65834,175,park slope,Entire home,2,11,0.11,246,321934,1,3172.0
282,66008,190,carroll gardens,Entire home,3,51,0.57,288,322884,1,3194.0
283,66026,49,crown heights,Private room,21,15,0.15,331,322716,5,2321.0
284,66251,212,east village,Entire home,3,67,1.31,51,324460,1,3241.0
285,66275,95,lower east side,Private room,1,109,1.11,364,314941,3,4016.0
286,66451,140,williamsburg,Entire home,2,9,0.11,254,325389,1,3352.0
287,66718,135,harlem,Entire home,6,187,1.87,189,136227,1,2609.0
288,66741,150,park slope,Entire home,2,214,2.08,263,327673,2,3172.0
289,66974,190,gowanus,Entire home,3,69,0.79,258,329436,2,3026.0
290,67288,124,east harlem,Entire home,28,22,0.26,103,101597,1,2664.0
291,67299,135,williamsburg,Entire home,30,56,0.56,42,330347,1,3352.0
292,67397,122,morningside heights,Private room,3,93,0.93,246,332189,1,2250.0
293,68099,109,upper west side,Private room,1,104,1.05,364,323517,2,3749.0
294,68305,85,harlem,Private room,30,64,0.68,318,338454,1,2609.0
295,68403,145,bedford stuyvesant,Entire home,3,127,1.25,72,240427,2,2442.0
296,68735,195,upper west side,Entire home,11,30,0.32,249,342054,1,3749.0
297,68765,250,carroll gardens,Entire home,2,106,1.34,272,282655,3,3194.0
298,68900,125,greenpoint,Private room,3,6,0.1,325,343250,1,3974.0
299,68974,575,little italy,Entire home,2,191,1.88,298,281229,1,2842.0
300,69894,150,upper west side,Entire home,30,48,0.55,35,352168,1,3749.0
301,69921,70,bushwick,Private room,5,47,0.49,203,155689,1,2553.0
302,70095,90,inwood,Private room,2,120,1.27,132,353965,1,1787.0
303,70128,65,east village,Private room,3,52,0.63,5,354330,1,3241.0
304,70609,500,east village,Entire home,2,48,0.48,297,72062,4,3241.0
305,71010,250,washington heights,Entire home,3,32,0.43,276,361855,2,1954.0
306,71248,125,chinatown,Entire home,25,43,0.42,102,363834,1,2531.0
307,71366,200,west village,Entire home,30,39,0.44,251,364955,1,5794.0
308,71384,229,greenpoint,Entire home,1,50,0.5,188,365153,1,3974.0
309,71812,90,kingsbridge,Entire home,30,4,0.35,346,369015,2,2708.0
310,72190,110,upper west side,Entire home,13,38,0.39,0,373085,1,3749.0
311,72265,59,greenpoint,Private room,3,29,0.36,15,340692,1,3974.0
312,74073,195,williamsburg,Entire home,4,59,0.6,71,211877,1,3352.0
313,74240,169,williamsburg,Entire home,1,68,0.67,215,389924,2,3352.0
314,74333,113,east harlem,Entire home,14,26,0.27,253,331328,3,2664.0
315,74404,250,harlem,Entire home,14,31,0.31,78,391325,1,2609.0
316,74680,115,astoria,Entire home,2,198,2.01,257,265109,1,2620.0
317,74860,55,greenpoint,Private room,2,1,0.01,0,394752,1,3974.0
318,75193,69,williamsburg,Private room,2,220,2.17,8,308875,2,3352.0
319,75635,150,lower east side,Entire home,3,286,2.81,191,401696,1,4016.0
320,76761,169,south slope,Entire home,2,398,3.97,182,118971,3,2575.0
321,77765,179,greenpoint,Private room,3,36,0.36,79,417504,28,3974.0
322,77936,150,hells kitchen,Private room,3,36,0.36,49,134355,1,3796.0
323,78919,135,boerum hill,Entire home,4,6,0.1,0,422561,1,3035.0
324,79067,350,clinton hill,Entire home,6,14,0.3,156,425506,1,3057.0
325,79782,120,williamsburg,Private room,14,76,0.76,343,430188,6,3352.0
326,80493,71,east village,Private room,2,182,1.81,200,434987,1,3241.0
327,80684,349,greenpoint,Private room,3,8,0.09,60,417504,28,3974.0
328,80700,349,greenpoint,Private room,3,7,0.07,60,417504,28,3974.0
329,80924,165,park slope,Entire home,30,34,0.51,189,438133,2,3172.0
330,81739,249,greenpoint,Private room,3,2,0.02,60,417504,28,3974.0
331,82549,100,brooklyn heights,Private room,3,66,0.68,0,448312,2,4528.0
332,82550,200,brooklyn heights,Entire home,3,80,0.85,106,448312,2,4528.0
333,82638,169,east village,Entire home,4,240,2.4,276,449787,1,3241.0
334,82928,185,bedford stuyvesant,Entire home,3,46,1.07,248,451545,1,2442.0
335,83243,65,bushwick,Entire home,2,228,2.27,194,453519,1,2553.0
336,83446,130,fort greene,Entire home,35,5,0.05,135,454756,1,3174.0
337,83722,199,williamsburg,Entire home,30,8,0.11,30,456638,1,3352.0
338,83847,225,east village,Entire home,2,33,0.33,0,410094,1,3241.0
339,84010,179,greenpoint,Private room,3,13,0.14,81,417504,28,3974.0
340,84059,150,crown heights,Entire home,5,5,0.05,0,459054,1,2321.0
341,84659,139,east village,Entire home,1,388,3.88,142,462776,1,3241.0
342,84905,95,two bridges,Private room,3,223,2.22,60,464506,2,3130.0
343,85094,79,crown heights,Entire home,15,11,0.11,179,322716,5,2321.0
344,86215,150,lower east side,Entire home,2,151,1.51,52,327900,2,4016.0
345,89427,650,clinton hill,Entire home,5,0,0.0,365,116599,3,3057.0
346,89621,90,bedford stuyvesant,Entire home,3,218,2.26,324,209460,4,2442.0
347,93313,120,bedford stuyvesant,Entire home,2,75,0.76,237,25183,2,2442.0
348,94035,80,astoria,Private room,1,42,1.21,365,35375,2,2620.0
349,94209,100,crown heights,Entire home,90,0,0.0,365,503800,1,2321.0
350,94477,175,bedford stuyvesant,Entire home,2,370,3.74,204,478395,1,2442.0
351,94783,120,crown heights,Entire home,5,104,1.04,272,473113,1,2321.0
352,95747,140,williamsburg,Entire home,7,13,0.13,0,509341,1,3352.0
353,95883,200,bedford stuyvesant,Entire home,5,4,0.07,9,509918,1,2442.0
354,96471,165,clinton hill,Private room,4,11,0.11,365,116599,3,3057.0
355,98330,125,kips bay,Entire home,4,1,0.01,181,31374,3,3048.0
356,98663,130,chelsea,Entire home,30,19,0.19,189,520279,1,6327.0
357,99070,65,east harlem,Shared room,7,131,1.31,0,522065,2,2664.0
358,99085,123,fort greene,Entire home,30,15,0.15,189,522164,1,3174.0
359,100002,67,washington heights,Private room,2,136,1.37,296,523218,1,1954.0
360,100184,50,queens village,Private room,1,43,0.45,88,526653,1,1931.0
361,100186,130,gowanus,Entire home,7,98,0.99,35,526805,1,3026.0
362,101053,100,williamsburg,Private room,3,31,0.31,0,530032,1,3352.0
363,102995,212,upper west side,Entire home,21,45,0.46,35,178043,1,3749.0
364,103161,190,williamsburg,Entire home,3,124,1.76,359,465278,1,3352.0
365,103311,599,greenpoint,Private room,3,9,0.09,60,417504,28,3974.0
366,103806,249,east village,Entire home,5,166,1.68,365,251176,2,3241.0
367,105469,70,rockaway park,Private room,27,13,0.13,335,547386,1,1743.0
368,105510,100,crown heights,Entire home,30,15,0.16,282,322716,5,2321.0
369,106363,60,harlem,Private room,3,380,3.83,247,551055,2,2609.0
370,106647,135,bedford stuyvesant,Entire home,2,86,0.87,102,552679,1,2442.0
371,107630,175,greenpoint,Entire home,3,248,2.53,274,306739,3,3974.0
372,107895,120,upper west side,Entire home,5,49,0.56,201,3088389,1,3749.0
373,110739,169,midtown,Entire home,18,54,0.57,98,568568,1,5794.0
